District code,District name,School code,School name,2020-2021 student count - year to date,2020-2021 attendance rate - year to date,2019-2020 student count,2019-2020 attendance rate,Reporting period,Update date
0090011,Bethel School District,0096111,Bethel High School,934,0.94,903,0.96,June 2021,08/06/2021
0110011,Bloomfield School District,0110511,Metacomet School,217,0.95,261,0.95,June 2021,08/06/2021
0110011,Bloomfield School District,0110611,Laurel School,315,0.93,358,0.95,June 2021,08/06/2021
0110011,Bloomfield School District,0110711,Carmen Arace Intermediate School,231,0.96,252,0.96,June 2021,08/06/2021
0110011,Bloomfield School District,0115211,Carmen Arace Middle School,271,0.94,276,0.96,June 2021,08/06/2021
0110011,Bloomfield School District,0116111,Bloomfield High School,504,0.93,545,0.96,June 2021,08/06/2021
0110011,Bloomfield School District,0116311,Global Experience Magnet School,186,0.93,178,0.94,June 2021,08/06/2021
0120011,Bolton School District,0120111,Bolton Center School,486,0.95,489,0.95,June 2021,08/06/2021
0120011,Bolton School District,0126111,Bolton High School,263,0.94,273,0.95,June 2021,08/06/2021
0130011,Bozrah School District,0130111,Fields Memorial School,159,0.97,164,0.96,June 2021,08/06/2021
0140011,Branford School District,0141411,Mary T. Murphy School,320,0.95,362,0.95,June 2021,08/06/2021
0140011,Branford School District,0141511,Mary R. Tisko School,325,0.96,343,0.96,June 2021,08/06/2021
0140011,Branford School District,0141611,John B. Sliney School,243,0.94,269,0.96,June 2021,08/06/2021
0140011,Branford School District,0145111,Francis Walsh Intermediate School,821,0.95,862,1.00,June 2021,08/06/2021
0140011,Branford School District,0146111,Branford High School,773,0.95,788,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0150111,Barnum School,553,0.86,602,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0150211,Beardsley School,274,0.90,287,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0150221,The University School,24,0.62,54,0.71,June 2021,08/06/2021
0150011,Bridgeport School District,0150311,Black Rock School,424,0.94,460,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0150411,Bryant School,290,0.88,304,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0150511,Columbus School,505,0.87,558,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0150611,"Biotechnology, Research & Zoological Studies Magnet High School",349,0.87,423,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0150711,Edison School,196,0.88,187,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",292,0.93,346,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,774,0.88,836,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0151111,Hall School,167,0.92,186,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0151211,Hallen School,260,0.92,274,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0151311,Thomas Hooker School,300,0.91,337,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0151411,Cesar Batalla School,1053,0.92,1098,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0151511,Information Technology & Software Engineering Magnet High School,331,0.93,389,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0151611,Bridgeport Military Academy,308,0.91,309,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0151711,Park City Magnet School,450,0.94,481,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0152011,Madison School,407,0.91,460,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0152111,Classical Studies Academy,396,0.93,434,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,532,0.88,551,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0152511,Read School,698,0.91,768,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0152611,Roosevelt School,506,0.91,516,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0153011,Waltersville School,461,0.86,497,0.93,June 2021,08/06/2021
0150011,Bridgeport School District,0153111,Geraldine Claytor Magnet Academy,389,0.86,392,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0153211,Geraldine Johnson School,740,0.92,773,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0153611,John Winthrop School,582,0.95,640,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0153711,Interdistrict Discovery Magnet School,388,0.96,398,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0153911,Wilbur Cross School,304,0.87,309,0.92,June 2021,08/06/2021
0150011,Bridgeport School District,0154011,Blackham School,984,0.92,1058,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0154111,Paul Laurence Dunbar School,276,0.88,278,0.92,June 2021,08/06/2021
0150011,Bridgeport School District,0154211,James J. Curiale School,530,0.88,554,0.94,June 2021,08/06/2021
0150011,Bridgeport School District,0154511,High Horizons Magnet School,432,0.96,447,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0154611,Multicultural Magnet School,423,0.97,463,0.97,June 2021,08/06/2021
0150011,Bridgeport School District,0156111,Bassick High School,885,0.81,797,0.86,June 2021,08/06/2021
0150011,Bridgeport School District,0156211,Central High School,1476,0.90,1569,0.95,June 2021,08/06/2021
0150011,Bridgeport School District,0156311,Warren Harding High School,1072,0.83,1161,0.88,June 2021,08/06/2021
0150011,Bridgeport School District,0159011,Bridgeport Learning Center,61,0.81,72,0.87,June 2021,08/06/2021
0170011,Bristol School District,0170311,Edgewood School,256,0.95,287,0.95,June 2021,08/06/2021
0170011,Bristol School District,0170511,Greene-Hills School,874,0.92,892,0.96,June 2021,08/06/2021
0170011,Bristol School District,0171111,South Side School,426,0.94,439,0.95,June 2021,08/06/2021
0170011,Bristol School District,0171211,Stafford School,347,0.93,361,0.95,June 2021,08/06/2021
0170011,Bristol School District,0171411,Ellen P. Hubbell School,349,0.94,362,0.95,June 2021,08/06/2021
0170011,Bristol School District,0171711,Mountain View School,291,0.95,308,0.96,June 2021,08/06/2021
0170011,Bristol School District,0171911,Ivy Drive School,337,0.97,337,0.96,June 2021,08/06/2021
0170011,Bristol School District,0172011,West Bristol School,861,0.88,904,0.95,June 2021,08/06/2021
0170011,Bristol School District,0173311,Bristol Preparatory Academy,52,0.72,54,0.86,June 2021,08/06/2021
0170011,Bristol School District,0175111,Chippens Hill Middle School,710,0.89,712,0.95,June 2021,08/06/2021
0170011,Bristol School District,0175211,Northeast Middle School,417,0.92,468,0.96,June 2021,08/06/2021
0170011,Bristol School District,0176111,Bristol Central High School,1194,0.89,1171,0.95,June 2021,08/06/2021
0170011,Bristol School District,0176211,Bristol Eastern High School,1098,0.91,1074,0.95,June 2021,08/06/2021
0170011,Bristol School District,0179011,Alternative Special Education Program (ASEP),26,0.68,29,0.75,June 2021,08/06/2021
0170011,Bristol School District,0179211,Community/Vocational Program,22,0.91,23,0.91,June 2021,08/06/2021
0180011,Brookfield School District,0180311,Center Elementary School,336,0.97,342,0.96,June 2021,08/06/2021
0180011,Brookfield School District,0180411,Huckleberry Hill Elementary School,522,0.96,523,0.97,June 2021,08/06/2021
0180011,Brookfield School District,0185311,Whisconier Middle School,793,0.97,830,0.97,June 2021,08/06/2021
0180011,Brookfield School District,0186111,Brookfield High School,895,0.94,862,0.98,June 2021,08/06/2021
0190011,Brooklyn School District,0190111,Brooklyn Elementary School,424,0.94,458,0.95,June 2021,08/06/2021
0190011,Brooklyn School District,0195111,Brooklyn Middle School,337,0.92,336,0.96,June 2021,08/06/2021
0210011,Canaan School District,0210111,Lee H. Kellogg School,72,0.97,69,0.96,June 2021,08/06/2021
0220011,Canterbury School District,0220211,Canterbury Elementary School,219,0.96,246,0.96,June 2021,08/06/2021
0220011,Canterbury School District,0225111,Dr. Helen Baldwin Middle School,188,0.96,180,0.96,June 2021,08/06/2021
0230011,Canton School District,0230211,Cherry Brook Primary School,420,0.94,446,0.93,June 2021,08/06/2021
0230011,Canton School District,0230311,Canton Intermediate School,348,0.95,365,0.95,June 2021,08/06/2021
0230011,Canton School District,0235111,Canton Middle School,245,0.96,253,0.96,June 2021,08/06/2021
0230011,Canton School District,0236111,Canton High School,479,0.97,474,0.96,June 2021,08/06/2021
0240011,Chaplin School District,0240211,Chaplin Elementary School,127,0.95,124,0.97,June 2021,08/06/2021
0250011,Cheshire School District,0250111,Chapman School,321,0.97,315,0.96,June 2021,08/06/2021
0250011,Cheshire School District,0250211,Darcey School,131,0.96,82,0.95,June 2021,08/06/2021
0250011,Cheshire School District,0250411,Highland School,752,0.98,725,0.96,June 2021,08/06/2021
0250011,Cheshire School District,0250511,Norton School,415,0.98,417,0.96,June 2021,08/06/2021
0250011,Cheshire School District,0250611,Doolittle School,438,0.99,437,0.96,June 2021,08/06/2021
0250011,Cheshire School District,0250911,Humiston Alternative School,32,0.65,36,0.92,June 2021,08/06/2021
0250011,Cheshire School District,0255111,Dodd Middle School,639,0.97,650,0.95,June 2021,08/06/2021
0250011,Cheshire School District,0256111,Cheshire High School,1353,0.97,1395,0.96,June 2021,08/06/2021
0260011,Chester School District,0260111,Chester Elementary School,208,0.97,188,0.97,June 2021,08/06/2021
0270011,Clinton School District,0270311,Lewin G. Joel Jr. School,513,0.96,506,0.96,June 2021,08/06/2021
0270011,Clinton School District,0275111,Jared Eliot School,471,0.95,519,0.95,June 2021,08/06/2021
0270011,Clinton School District,0276111,The Morgan School,559,0.95,591,0.93,June 2021,08/06/2021
0280011,Colchester School District,0280211,Jack Jackter Intermediate School,446,0.94,452,0.95,June 2021,08/06/2021
0280011,Colchester School District,0280411,Colchester Elementary School,417,0.96,438,0.96,June 2021,08/06/2021
0280011,Colchester School District,0285111,William J. Johnston Middle School,498,0.96,507,0.95,June 2021,08/06/2021
0280011,Colchester School District,0286111,Bacon Academy,715,0.94,762,0.95,June 2021,08/06/2021
0290011,Colebrook School District,0290111,Colebrook Consolidated School,78,0.96,73,0.97,June 2021,08/06/2021
0300011,Columbia School District,0300111,Horace W. Porter School,397,0.95,388,0.96,June 2021,08/06/2021
0310011,Cornwall School District,0310111,Cornwall Consolidated School,118,0.97,90,0.96,June 2021,08/06/2021
0320011,Coventry School District,0320211,Coventry Grammar School,332,0.96,359,0.94,June 2021,08/06/2021
0320011,Coventry School District,0320411,George Hersey Robertson School,379,0.96,368,0.96,June 2021,08/06/2021
0320011,Coventry School District,0325111,Capt. Nathan Hale School,388,0.96,395,0.95,June 2021,08/06/2021
0320011,Coventry School District,0326111,Coventry High School,412,0.93,437,0.94,June 2021,08/06/2021
0330011,Cromwell School District,0330211,Edna C. Stevens School,438,0.94,434,0.97,June 2021,08/06/2021
0330011,Cromwell School District,0330311,Woodside Intermediate School,467,0.94,474,0.98,June 2021,08/06/2021
0330011,Cromwell School District,0335111,Cromwell Middle School,465,0.97,454,0.99,June 2021,08/06/2021
0330011,Cromwell School District,0336111,Cromwell High School,549,0.97,547,0.95,June 2021,08/06/2021
0340011,Danbury School District,0340211,Hayestown Avenue School,405,0.94,438,0.95,June 2021,08/06/2021
0340011,Danbury School District,0340311,Westside Middle School Academy,727,0.97,694,0.97,June 2021,08/06/2021
0340011,Danbury School District,0340511,Mill Ridge Primary School,348,0.94,382,0.95,June 2021,08/06/2021
0340011,Danbury School District,0340611,Morris Street School,377,0.95,345,0.96,June 2021,08/06/2021
0340011,Danbury School District,0340811,Park Avenue School,591,0.92,631,0.95,June 2021,08/06/2021
0340011,Danbury School District,0341011,South Street School,392,0.93,410,0.95,June 2021,08/06/2021
0340011,Danbury School District,0341111,Great Plain School,259,0.97,252,0.95,June 2021,08/06/2021
0340011,Danbury School District,0341211,Shelter Rock School,514,0.96,519,0.96,June 2021,08/06/2021
0340011,Danbury School District,0341311,King Street Primary School,385,0.94,432,0.95,June 2021,08/06/2021
0340011,Danbury School District,0341411,Ellsworth Avenue School,464,0.93,510,0.96,June 2021,08/06/2021
0340011,Danbury School District,0341511,Pembroke School,342,0.94,371,0.95,June 2021,08/06/2021
0340011,Danbury School District,0341611,Stadley Rough School,480,0.95,531,0.96,June 2021,08/06/2021
0340011,Danbury School District,0341711,King Street Intermediate School,390,0.93,389,0.96,June 2021,08/06/2021
0340011,Danbury School District,0341911,Western CT Academy of International Studies Elementary Magnet School,334,0.97,362,0.96,June 2021,08/06/2021
0340011,Danbury School District,0345111,Broadview Middle School,1016,0.96,990,0.96,June 2021,08/06/2021
0340011,Danbury School District,0345211,Rogers Park Middle School,1062,0.94,1073,0.96,June 2021,08/06/2021
0340011,Danbury School District,0346111,Danbury High School,3257,0.88,3267,0.94,June 2021,08/06/2021
0340011,Danbury School District,0346211,Alternative Center For Excellence,83,0.60,88,0.74,June 2021,08/06/2021
0350011,Darien School District,0350211,Hindley Elementary School,431,0.98,456,0.96,June 2021,08/06/2021
0350011,Darien School District,0350511,Royle Elementary School,359,0.98,362,0.96,June 2021,08/06/2021
0350011,Darien School District,0350611,Tokeneke Elementary School,418,0.98,432,0.96,June 2021,08/06/2021
0350011,Darien School District,0350711,Holmes Elementary School,439,0.98,444,0.97,June 2021,08/06/2021
0350011,Darien School District,0351311,Ox Ridge Elementary School,442,0.98,404,0.95,June 2021,08/06/2021
0350011,Darien School District,0355111,Middlesex Middle School,1137,0.97,1149,0.96,June 2021,08/06/2021
0350011,Darien School District,0356111,Darien High School,1374,0.96,1400,0.97,June 2021,08/06/2021
0360011,Deep River School District,0360111,Deep River Elementary School,215,0.98,236,0.96,June 2021,08/06/2021
0370011,Derby School District,0370411,Irving School,290,0.92,302,0.95,June 2021,08/06/2021
0370011,Derby School District,0370511,RAISE Academy,23,0.72,21,0.90,June 2021,08/06/2021
0370011,Derby School District,0370611,Bradley School,238,0.92,229,0.95,June 2021,08/06/2021
0370011,Derby School District,0375011,Derby Middle School,326,0.93,360,0.94,June 2021,08/06/2021
0370011,Derby School District,0376111,Derby High School,345,0.90,315,0.93,June 2021,08/06/2021
0390011,Eastford School District,0390111,Eastford Elementary School,126,0.95,127,0.96,June 2021,08/06/2021
0400011,East Granby School District,0400111,Allgrove School,166,0.93,186,0.95,June 2021,08/06/2021
0400011,East Granby School District,0400211,R. Dudley Seymour School,186,0.94,179,0.96,June 2021,08/06/2021
0400011,East Granby School District,0405111,East Granby Middle School,206,0.92,200,0.97,June 2021,08/06/2021
0400011,East Granby School District,0406111,East Granby High School,254,0.91,255,0.96,June 2021,08/06/2021
0410011,East Haddam School District,0410111,East Haddam Elementary School,274,0.96,283,0.95,June 2021,08/06/2021
0410011,East Haddam School District,0415111,Nathan Hale-Ray Middle School,354,0.97,374,0.96,June 2021,08/06/2021
0410011,East Haddam School District,0416111,Nathan Hale-Ray High School,298,0.97,302,0.95,June 2021,08/06/2021
0420011,East Hampton School District,0420111,Memorial School,502,0.97,528,0.96,June 2021,08/06/2021
0420011,East Hampton School District,0420311,Center School,292,0.96,297,0.96,June 2021,08/06/2021
0420011,East Hampton School District,0425111,East Hampton Middle School,423,0.97,463,0.96,June 2021,08/06/2021
0420011,East Hampton School District,0426111,East Hampton High School,530,0.94,492,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0430411,Joseph O. Goodwin School,339,0.92,375,0.94,June 2021,08/06/2021
0430011,East Hartford School District,0430611,Dr. Franklin H. Mayberry School,308,0.90,316,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0430911,Anna E. Norris School,271,0.85,286,0.94,June 2021,08/06/2021
0430011,East Hartford School District,0431011,Dr. Thomas S. O'Connell School,522,0.95,550,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0431211,Silver Lane School,269,0.88,269,0.94,June 2021,08/06/2021
0430011,East Hartford School District,0431811,Robert J. O'Brien School,374,0.92,365,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0432011,Governor William Pitkin School,299,0.96,331,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0432211,Dr. John A. Langford School,301,0.93,327,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0432411,Sunset Ridge Middle School,353,0.95,334,0.96,June 2021,08/06/2021
0430011,East Hartford School District,0435111,East Hartford Middle School,1077,0.91,1150,0.94,June 2021,08/06/2021
0430011,East Hartford School District,0436211,East Hartford High School,1636,0.95,1687,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0436311,Connecticut IB Academy,174,0.97,173,0.95,June 2021,08/06/2021
0430011,East Hartford School District,0436411,Synergy Alternative Program,123,0.53,113,0.73,June 2021,08/06/2021
0430011,East Hartford School District,0439011,Woodland School,172,0.68,224,0.78,June 2021,08/06/2021
0440011,East Haven School District,0440111,Deer Run School,209,0.95,183,0.95,June 2021,08/06/2021
0440011,East Haven School District,0440711,Momauguin School,282,0.95,305,0.96,June 2021,08/06/2021
0440011,East Haven School District,0441011,Grove J. Tuttle School,270,0.95,261,0.97,June 2021,08/06/2021
0440011,East Haven School District,0441311,Dominick H. Ferrara School,166,0.93,166,0.96,June 2021,08/06/2021
0440011,East Haven School District,0441711,Carbone School/East Haven Academy,294,0.96,303,0.96,June 2021,08/06/2021
0440011,East Haven School District,0445111,Joseph Melillo Middle School,527,0.91,522,0.98,June 2021,08/06/2021
0440011,East Haven School District,0446111,East Haven High School,867,0.90,876,0.93,June 2021,08/06/2021
0450011,East Lyme School District,0450111,Flanders School,262,0.98,286,0.96,June 2021,08/06/2021
0450011,East Lyme School District,0450211,Niantic Center School,227,0.97,230,0.96,June 2021,08/06/2021
0450011,East Lyme School District,0450411,Lillie B. Haynes School,288,0.96,310,0.95,June 2021,08/06/2021
0450011,East Lyme School District,0455111,East Lyme Middle School,733,0.95,787,0.96,June 2021,08/06/2021
0450011,East Lyme School District,0456111,East Lyme High School,1004,0.94,984,0.96,June 2021,08/06/2021
0460011,Easton School District,0460111,Samuel Staples Elementary School,535,0.98,541,0.96,June 2021,08/06/2021
0460011,Easton School District,0465111,Helen Keller Middle School,322,0.96,320,0.96,June 2021,08/06/2021
0470011,East Windsor School District,0470111,Broad Brook Elementary School,402,0.90,422,0.95,June 2021,08/06/2021
0470011,East Windsor School District,0475411,East Windsor Middle School,301,0.87,302,0.95,June 2021,08/06/2021
0470011,East Windsor School District,0476111,East Windsor High School,272,0.85,286,0.93,June 2021,08/06/2021
0480011,Ellington School District,0480111,Center School,446,0.96,469,0.96,June 2021,08/06/2021
0480011,Ellington School District,0480211,Crystal Lake School,297,0.95,314,0.96,June 2021,08/06/2021
0480011,Ellington School District,0480611,Windermere School,583,0.97,612,0.95,June 2021,08/06/2021
0480011,Ellington School District,0485111,Ellington Middle School,412,0.96,416,0.96,June 2021,08/06/2021
0480011,Ellington School District,0486111,Ellington High School,799,0.94,785,0.95,June 2021,08/06/2021
0490011,Enfield School District,0490211,Enfield Street School,262,0.97,282,0.95,June 2021,08/06/2021
0490011,Enfield School District,0490411,Hazardville Memorial School,324,0.96,330,0.95,June 2021,08/06/2021
0490011,Enfield School District,0491311,Edgar H. Parkman School,323,0.96,349,0.96,June 2021,08/06/2021
0490011,Enfield School District,0491511,Prudence Crandall School,376,0.95,398,0.95,June 2021,08/06/2021
0490011,Enfield School District,0491611,Eli Whitney School,348,0.96,357,0.96,June 2021,08/06/2021
0490011,Enfield School District,0491811,Henry Barnard School,333,0.95,369,0.94,June 2021,08/06/2021
0490011,Enfield School District,0495211,John F. Kennedy Middle School,1101,0.95,1089,0.94,June 2021,08/06/2021
0490011,Enfield School District,0496111,Enfield High School,1499,1.00,1486,0.94,June 2021,08/06/2021
0500011,Essex School District,0500111,Essex Elementary School,281,0.98,293,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0510111,Dwight Elementary School,266,0.94,275,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0510211,Burr Elementary School,350,0.94,367,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0510311,Walter Fitzgerald Campus,35,0.73,31,0.89,June 2021,08/06/2021
0510011,Fairfield School District,0510411,Holland Hill School,347,0.95,348,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0510611,McKinley School,437,0.93,444,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0510711,Mill Hill School,352,0.96,361,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0511211,Riverfield School,365,0.97,409,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0511311,Sherman School,415,0.96,433,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0511411,Stratfield School,331,0.95,379,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0511611,North Stratfield School,369,0.97,377,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0511711,Jennings School,259,0.97,287,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0511811,Osborn Hill School,368,0.97,407,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0515111,Tomlinson Middle School,620,0.92,666,0.96,June 2021,08/06/2021
0510011,Fairfield School District,0515211,Fairfield Woods Middle School,799,0.95,909,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0515311,Roger Ludlowe Middle School,804,0.93,851,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0516011,Fairfield Ludlowe High School,1527,0.92,1490,0.95,June 2021,08/06/2021
0510011,Fairfield School District,0516211,Fairfield Warde High School,1452,0.94,1427,0.96,June 2021,08/06/2021
0520011,Farmington School District,0520111,Union School,299,0.98,323,0.96,June 2021,08/06/2021
0520011,Farmington School District,0520211,Noah Wallace School,320,0.97,356,0.96,June 2021,08/06/2021
0520011,Farmington School District,0520311,West District School,340,0.97,326,0.96,June 2021,08/06/2021
0520011,Farmington School District,0520411,East Farms School,457,0.97,477,0.96,June 2021,08/06/2021
0520011,Farmington School District,0520511,West Woods Upper Elementary School,632,0.97,635,0.96,June 2021,08/06/2021
0520011,Farmington School District,0525111,Irving A. Robbins Middle School,683,0.96,686,0.96,June 2021,08/06/2021
0520011,Farmington School District,0526111,Farmington High School,1263,0.94,1238,0.96,June 2021,08/06/2021
0530011,Franklin School District,0530111,Franklin Elementary School,154,0.97,141,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0540111,Links Academy,56,0.90,53,0.87,June 2021,08/06/2021
0540011,Glastonbury School District,0540211,Buttonball Lane School,450,0.98,476,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0540411,Hebron Avenue School,441,0.97,429,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0540611,Hopewell School,545,0.98,502,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0540711,Naubuc School,408,0.97,405,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0540811,Gideon Welles School,423,0.98,443,0.97,June 2021,08/06/2021
0540011,Glastonbury School District,0540911,Nayaug Elementary School,543,0.97,550,0.96,June 2021,08/06/2021
0540011,Glastonbury School District,0545211,Smith Middle School,908,0.96,941,0.97,June 2021,08/06/2021
0540011,Glastonbury School District,0546111,Glastonbury High School,1914,0.98,1937,0.97,June 2021,08/06/2021
0560011,Granby School District,0560311,Wells Road Intermediate School,360,0.97,376,0.96,June 2021,08/06/2021
0560011,Granby School District,0560411,Kelly Lane Primary School,357,0.97,361,0.95,June 2021,08/06/2021
0560011,Granby School District,0565111,Granby Memorial Middle School,445,0.97,408,0.96,June 2021,08/06/2021
0560011,Granby School District,0566111,Granby Memorial High School,568,0.97,589,0.96,June 2021,08/06/2021
0570011,Greenwich School District,0570211,Cos Cob School,359,0.97,391,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570311,Julian Curtiss School,273,0.94,279,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570411,Glenville School,393,0.97,405,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570511,Hamilton Avenue School,315,0.95,317,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570611,New Lebanon School,270,0.95,259,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570711,North Mianus School,485,0.97,494,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570811,North Street School,323,0.97,368,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0570911,Old Greenwich School,359,0.96,387,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0571011,Riverside School,445,0.97,459,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0571111,Parkway School,221,0.96,215,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0571311,International School At Dundee,367,0.97,359,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0571511,Windrose,34,0.86,34,0.99,June 2021,08/06/2021
0570011,Greenwich School District,0575111,Central Middle School,570,0.96,579,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0575211,Eastern Middle School,840,0.95,865,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0575311,Western Middle School,625,0.96,630,1.00,June 2021,08/06/2021
0570011,Greenwich School District,0576111,Greenwich High School,2711,0.96,2756,1.00,June 2021,08/06/2021
0580011,Griswold School District,0580311,Griswold Elementary School,593,0.96,598,0.95,June 2021,08/06/2021
0580011,Griswold School District,0585111,Griswold Middle School,529,0.94,555,0.95,June 2021,08/06/2021
0580011,Griswold School District,0586211,Griswold High School,506,0.93,510,0.94,June 2021,08/06/2021
0590011,Groton School District,0590111,S. B. Butler School,206,0.92,235,0.96,June 2021,08/06/2021
0590011,Groton School District,0590311,Claude Chester School,285,0.85,303,0.94,June 2021,08/06/2021
0590011,Groton School District,0591711,Mary Morrisson School,267,0.93,307,0.95,June 2021,08/06/2021
0590011,Groton School District,0591811,Charles Barnum School,330,0.90,370,0.95,June 2021,08/06/2021
0590011,Groton School District,0591911,Northeast Academy Elementary School,404,0.94,413,0.95,June 2021,08/06/2021
