Graduating Class,School ID,School Name,Type,Indicator,Value
2013,146111,Branford High School,Credit Attainment,% Earning 24 Credits,72.60%
2014,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,37.70%
2014,146111,Branford High School,Credit Attainment,% Earning 24 Credits,70.80%
2015,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,42.10%
2015,146111,Branford High School,Credit Attainment,% Earning 24 Credits,72.00%
2016,146111,Branford High School,Credit Attainment,% Enrolled in 16 Months,41.40%
2016,146111,Branford High School,Credit Attainment,% Earning 24 Credits,62.20%
2010,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2010,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2011,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2011,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2012,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2012,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2013,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2013,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2014,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2014,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2015,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,*
2015,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,*
2016,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Enrolled in 16 Months,51.30%
2016,150611,"Biotech, Resrch & Zoo Studies",Credit Attainment,% Earning 24 Credits,59.00%
2010,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2010,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2011,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2011,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2012,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2012,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2013,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2013,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2014,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2014,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2015,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,*
2015,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,*
2016,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Enrolled in 16 Months,54.20%
2016,150811,"Aero/Hydro, Engin & Physical Sci",Credit Attainment,% Earning 24 Credits,53.10%
2010,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2010,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2011,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2011,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2012,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2012,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2013,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2013,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2014,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2014,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2015,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,*
2015,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,*
2016,151511,IT & Software Engineering Magnet,Credit Attainment,% Enrolled in 16 Months,54.40%
2016,151511,IT & Software Engineering Magnet,Credit Attainment,% Earning 24 Credits,51.40%
2010,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,34.70%
2010,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,39.70%
2011,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,32.40%
2011,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,35.60%
2012,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,40.30%
2012,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,40.60%
2013,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,41.00%
2013,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,35.60%
2014,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,29.20%
2014,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,42.90%
2015,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,47.80%
2015,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,37.20%
2016,156111,Bassick High School,Credit Attainment,% Enrolled in 16 Months,46.30%
2016,156111,Bassick High School,Credit Attainment,% Earning 24 Credits,47.90%
2010,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,43.10%
2010,156211,Central High School,Credit Attainment,% Earning 24 Credits,54.80%
2011,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,46.30%
2011,156211,Central High School,Credit Attainment,% Earning 24 Credits,60.40%
2012,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,40.40%
2012,156211,Central High School,Credit Attainment,% Earning 24 Credits,59.60%
2013,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,47.30%
2013,156211,Central High School,Credit Attainment,% Earning 24 Credits,58.60%
2014,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,44.90%
2014,156211,Central High School,Credit Attainment,% Earning 24 Credits,51.40%
2015,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,54.60%
2015,156211,Central High School,Credit Attainment,% Earning 24 Credits,54.20%
2016,156211,Central High School,Credit Attainment,% Enrolled in 16 Months,50.70%
2016,156211,Central High School,Credit Attainment,% Earning 24 Credits,57.80%
2010,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,34.60%
2010,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,44.00%
2011,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,38.60%
2011,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,39.80%
2012,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,36.90%
2012,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,43.00%
2013,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,29.60%
2013,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,43.80%
2014,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,35.50%
2014,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,34.10%
2015,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,36.70%
2015,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,35.40%
2016,156311,Warren Harding High School,Credit Attainment,% Enrolled in 16 Months,37.90%
2016,156311,Warren Harding High School,Credit Attainment,% Earning 24 Credits,34.90%
2010,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,45.00%
2010,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,66.40%
2011,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,45.10%
2011,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,68.30%
2012,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,38.60%
2012,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,71.20%
2013,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,45.60%
2013,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,68.50%
2014,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,38.00%
2014,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,69.70%
2015,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,43.10%
2015,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,64.30%
2016,176111,Bristol Central High School,Credit Attainment,% Enrolled in 16 Months,45.00%
2016,176111,Bristol Central High School,Credit Attainment,% Earning 24 Credits,58.50%
2010,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,47.00%
2010,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,73.10%
2011,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,51.40%
2011,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,67.30%
2012,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,51.10%
2012,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,77.50%
2013,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,48.10%
2013,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,80.30%
2014,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,47.20%
2014,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,68.50%
2015,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,49.30%
2015,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,67.90%
2016,176211,Bristol Eastern High School,Credit Attainment,% Enrolled in 16 Months,43.40%
2016,176211,Bristol Eastern High School,Credit Attainment,% Earning 24 Credits,59.10%
2010,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,38.20%
2010,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,77.80%
2011,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,42.60%
2011,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,77.10%
2012,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,45.60%
2012,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,72.20%
2013,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,34.60%
2013,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,75.60%
2014,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,36.60%
2014,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,74.70%
2015,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,40.00%
2015,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,81.10%
2016,186111,Brookfield High School,Credit Attainment,% Enrolled in 16 Months,34.90%
2016,186111,Brookfield High School,Credit Attainment,% Earning 24 Credits,71.20%
2010,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,36.10%
2010,236111,Canton High School,Credit Attainment,% Earning 24 Credits,62.50%
2011,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,33.90%
2011,236111,Canton High School,Credit Attainment,% Earning 24 Credits,66.70%
2012,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,31.90%
2012,236111,Canton High School,Credit Attainment,% Earning 24 Credits,64.90%
2013,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,37.30%
2013,236111,Canton High School,Credit Attainment,% Earning 24 Credits,81.80%
2014,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,38.10%
2014,236111,Canton High School,Credit Attainment,% Earning 24 Credits,66.70%
2015,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,32.50%
2015,236111,Canton High School,Credit Attainment,% Earning 24 Credits,70.70%
2016,236111,Canton High School,Credit Attainment,% Enrolled in 16 Months,35.30%
2016,236111,Canton High School,Credit Attainment,% Earning 24 Credits,66.70%
2010,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,36.20%
2010,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,73.80%
2011,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,43.50%
2011,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,69.50%
2012,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,43.00%
2012,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,78.40%
2013,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,39.20%
2013,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,79.90%
2014,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,33.90%
2014,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,80.60%
2015,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,38.50%
2015,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,78.60%
2016,256111,Cheshire High School,Credit Attainment,% Enrolled in 16 Months,37.20%
2016,256111,Cheshire High School,Credit Attainment,% Earning 24 Credits,77.90%
2010,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,41.40%
2010,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,70.70%
2011,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,43.30%
2011,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,59.00%
2012,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,39.00%
2012,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,87.00%
2013,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,46.20%
2013,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,80.00%
2014,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,50.80%
2014,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,73.80%
2015,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,38.50%
2015,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,65.50%
2016,276111,The Morgan School,Credit Attainment,% Enrolled in 16 Months,43.80%
2016,276111,The Morgan School,Credit Attainment,% Earning 24 Credits,82.50%
2010,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,53.00%
2010,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,70.20%
2011,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,51.50%
2011,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,71.80%
2012,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,52.10%
2012,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,66.90%
2013,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,52.70%
2013,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,74.80%
2014,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,48.60%
2014,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,70.60%
2015,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,41.10%
2015,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,78.40%
2016,286111,Bacon Academy,Credit Attainment,% Enrolled in 16 Months,50.70%
2016,286111,Bacon Academy,Credit Attainment,% Earning 24 Credits,77.70%
2010,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,51.40%
2010,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,73.70%
2011,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,41.80%
2011,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,72.10%
2012,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,52.90%
2012,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,67.10%
2013,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,44.60%
2013,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,67.20%
2014,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,53.90%
2014,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,76.80%
2015,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,48.10%
2015,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,63.50%
2016,326111,Coventry High School,Credit Attainment,% Enrolled in 16 Months,52.20%
2016,326111,Coventry High School,Credit Attainment,% Earning 24 Credits,75.00%
2010,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,49.00%
2010,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,68.60%
2011,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,51.60%
2011,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,63.40%
2012,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,48.90%
2012,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,70.10%
2013,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,45.10%
2013,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,70.00%
2014,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,50.80%
2014,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,68.20%
2015,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,52.00%
2015,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,78.10%
2016,336111,Cromwell High School,Credit Attainment,% Enrolled in 16 Months,53.30%
2016,336111,Cromwell High School,Credit Attainment,% Earning 24 Credits,76.40%
2010,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,50.20%
2010,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,71.10%
2011,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,53.30%
2011,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,65.10%
2012,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,54.80%
2012,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,68.90%
2013,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,50.20%
2013,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,70.80%
2014,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,48.30%
2014,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,68.00%
2015,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,50.90%
2015,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,70.50%
2016,346111,Danbury High School,Credit Attainment,% Enrolled in 16 Months,52.20%
2016,346111,Danbury High School,Credit Attainment,% Earning 24 Credits,73.80%
2010,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,*
2010,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2011,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,*
2011,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2012,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,*
2012,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2013,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,*
2013,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2014,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,30.00%
2014,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2015,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,29.60%
2015,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
2016,346211,Alt. Center For Excellence,Credit Attainment,% Enrolled in 16 Months,52.20%
2016,346211,Alt. Center For Excellence,Credit Attainment,% Earning 24 Credits,*
