District code,District name,Overall 2022-2023 attendance rate - year to date,Overall 2021-2022 attendance rate,High needs student 2022-2023 attendance rate - year to date,High needs student 2021-2022 attendance rate,Reporting period,Update date
2440014,Area Cooperative Educational Services,0.8821,0.8539,0.8656,0.8379,October 2022,11/28/2022
2450014,Learn,0.9307,0.91,0.9227,0.8939,October 2022,11/28/2022
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),0.8928,0.8373,0.8924,0.8269,October 2022,11/28/2022
2610013,Jumoke Academy District,0.9249,0.9124,,0.9179,October 2022,11/28/2022
2630013,Odyssey Community School District,0.9354,0.937,0.9436,0.9375,October 2022,11/28/2022
2640013,Integrated Day Charter School District,0.9465,0.9338,0.9399,0.9291,October 2022,11/28/2022
2650013,Interdistrict School for Arts and Comm District,0.9323,0.9274,0.9307,0.9196,October 2022,11/28/2022
2680013,Common Ground High School District,0.8822,0.842,0.8724,0.8213,October 2022,11/28/2022
2690013,The Bridge Academy District,0.9506,0.9415,0.9486,0.9344,October 2022,11/28/2022
2700013,Side By Side Charter School District,0.9563,0.9458,0.9584,0.9432,October 2022,11/28/2022
2720013,Explorations District,0.8646,0.8743,0.8473,0.863,October 2022,11/28/2022
2790013,Amistad Academy District,0.9218,0.8836,0.9167,0.878,October 2022,11/28/2022
2800013,New Beginnings Inc Family Academy District,0.9214,0.9115,0.9214,0.9131,October 2022,11/28/2022
2830013,Park City Prep Charter School District,0.9504,0.9416,0.9518,0.9422,October 2022,11/28/2022
2850013,Achievement First Bridgeport Academy District,0.9291,0.8736,0.9259,0.8678,October 2022,11/28/2022
2860013,Highville Charter School District,0.911,0.8815,0.9095,0.8752,October 2022,11/28/2022
2880013,Achievement First Hartford Academy District,0.9531,0.8833,0.9465,0.877,October 2022,11/28/2022
2890013,Elm City College Preparatory School District,0.9251,0.868,0.9214,0.8626,October 2022,11/28/2022
2900013,Brass City Charter School District,0.9397,0.9209,0.9376,0.9147,October 2022,11/28/2022
2910013,Elm City Montessori School District,0.9453,0.9418,0.9396,0.9225,October 2022,11/28/2022
2940013,Great Oaks Charter School District,0.9069,0.9158,0.8979,0.906,October 2022,11/28/2022
2950013,Booker T. Washington Academy District,0.9321,0.9149,0.9293,0.9091,October 2022,11/28/2022
2960013,Stamford Charter School for Excellence District,0.9535,0.9315,0.9519,0.9318,October 2022,11/28/2022
2970013,Capital Preparatory Harbor School District,0.9376,0.9124,0.9326,0.9116,October 2022,11/28/2022
3360015,Unified School District #1,0.941,0.8757,0.9401,,October 2022,11/28/2022
3470015,Unified School District #2,0.9186,0.8258,,,October 2022,11/28/2022
9000016,Connecticut Technical Education and Career System,0.9368,0.9007,0.9293,0.8969,October 2022,11/28/2022
9010022,Norwich Free Academy District,0.9127,0.8972,0.8945,0.8778,October 2022,11/28/2022
9020022,The Gilbert School District,0.9119,0.8934,0.9074,0.8757,October 2022,11/28/2022
9030022,The Woodstock Academy District,0.9226,0.9307,0.8625,0.9103,October 2022,11/28/2022
